(+)-Limonene	CC1=CCC(CC1)C(=C)C
(+)-trans-Carveol	CC1=CCC(CC1O)C(=C)C
(1-Hydroxycyclohexan-1-yl)acetyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC4(CCCCC4)O)O
(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1R,2S)-Naphthalene epoxide	C1=CC=C2C3C(O3)C=CC2=C1
(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1S,2R)-Naphthalene epoxide	C1=CC=C2C3C(O3)C=CC2=C1
(2E)-Decenoyl-CoA	CCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-Decenoyl-[acp]	
(2E)-Dodecenoyl-CoA	CCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-Dodecenoyl-[acp]	
(2E)-Hexadecenoyl-CoA	CCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(2E)-Hexadecenoyl-[acp]	
(2E)-Hexenoyl-[acp]	
(2E)-Octadecenoyl-CoA	CCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-Octadecenoyl-[acp]	
(2E)-Octenoyl-CoA	CCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-Octenoyl-[acp]	
