gene	uniprot
HGD76_00585	A0A6H2BW75
HGD76_00035	A0A6H2BV19
HGD76_00310	A0A6H2BW35
HGD76_05870	A0A6H2BXI3
HGD76_07200	A0A6H2BY33
HGD76_08330	A0A6H2BYD9
HGD76_08005	A0A6H2BZG6
HGD76_09105	A0A6H2BZY1
HGD76_12415	A0A6H2C095
HGD76_11125	A0A6H2C0F7
HGD76_13380	A0A6H2C0I4
HGD76_12485	A0A6H2C0X7
HGD76_12655	A0A6H2C158
HGD76_17510	A0A6H2C1J6
HGD76_16245	A0A6H2C3F8
HGD76_22445	A0A6H2C3X4
HGD76_20955	A0A6H2C4Q5
HGD76_00140	A0A6H2BTI4
HGD76_01475	A0A6H2BU37
HGD76_01595	A0A6H2BU60
HGD76_01910	A0A6H2BUA8
HGD76_02060	A0A6H2BUD5
HGD76_00505	A0A6H2BUP1
HGD76_02795	A0A6H2BUQ4
HGD76_02895	A0A6H2BUS1
HGD76_00170	A0A6H2BUX5
HGD76_03255	A0A6H2BUX6
HGD76_00330	A0A6H2BUZ6
HGD76_03415	A0A6H2BV05
HGD76_00020	A0A6H2BVB2
HGD76_00765	A0A6H2BVD4
HGD76_01650	A0A6H2BVD8
HGD76_04270	A0A6H2BVE3
HGD76_00635	A0A6H2BVK0
HGD76_04780	A0A6H2BVN3
HGD76_04800	A0A6H2BVN8
HGD76_05050	A0A6H2BVS4
HGD76_03070	A0A6H2BVU9
HGD76_01685	A0A6H2BW29
HGD76_03300	A0A6H2BW38
HGD76_05815	A0A6H2BW44
HGD76_03355	A0A6H2BW48
HGD76_02825	A0A6H2BWA7
HGD76_06360	A0A6H2BWC4
HGD76_03345	A0A6H2BWD3
HGD76_00945	A0A6H2BWD4
HGD76_02625	A0A6H2BWE3
HGD76_06515	A0A6H2BWE6
HGD76_01210	A0A6H2BWH5
HGD76_06785	A0A6H2BWI8
HGD76_03340	A0A6H2BWI9
HGD76_04390	A0A6H2BWM0
HGD76_06995	A0A6H2BWM6
HGD76_04445	A0A6H2BWN1
HGD76_07095	A0A6H2BWN7
HGD76_03015	A0A6H2BWN8
HGD76_03670	A0A6H2BWN9
HGD76_04030	A0A6H2BWP4
HGD76_07225	A0A6H2BWQ7
HGD76_03370	A0A6H2BWR2
HGD76_07265	A0A6H2BWR5
HGD76_04735	A0A6H2BWS9
HGD76_04265	A0A6H2BWT3
HGD76_05140	A0A6H2BWU1
HGD76_04855	A0A6H2BWU9
HGD76_04075	A0A6H2BWV7
HGD76_05325	A0A6H2BWX0
HGD76_07640	A0A6H2BWX7
HGD76_05395	A0A6H2BWX8
HGD76_04325	A0A6H2BX02
HGD76_04375	A0A6H2BX13
HGD76_04055	A0A6H2BX31
HGD76_05230	A0A6H2BX87
HGD76_04245	A0A6H2BX90
HGD76_03020	A0A6H2BXA4
HGD76_05100	A0A6H2BXC7
HGD76_06290	A0A6H2BXG9
HGD76_04760	A0A6H2BXI5
HGD76_04945	A0A6H2BXI6
HGD76_04960	A0A6H2BXL4
HGD76_06775	A0A6H2BXN7
HGD76_04020	A0A6H2BXR3
HGD76_09475	A0A6H2BXR9
HGD76_05535	A0A6H2BXS5
HGD76_05645	A0A6H2BXU3
HGD76_06505	A0A6H2BXY0
HGD76_09890	A0A6H2BXY5
HGD76_05970	A0A6H2BXZ2
HGD76_07970	A0A6H2BY21
HGD76_06540	A0A6H2BY67
HGD76_06255	A0A6H2BY68
HGD76_08355	A0A6H2BY78
HGD76_06395	A0A6H2BY84
HGD76_07360	A0A6H2BYB5
HGD76_05580	A0A6H2BYD2
HGD76_05410	A0A6H2BYE4
HGD76_08770	A0A6H2BYE8
HGD76_05690	A0A6H2BYF1
HGD76_05500	A0A6H2BYF6
HGD76_06850	A0A6H2BYF9
HGD76_07230	A0A6H2BYG9
HGD76_06165	A0A6H2BYL4
HGD76_08305	A0A6H2BYR5
HGD76_09205	A0A6H2BYS3
HGD76_08680	A0A6H2BYS8
HGD76_06890	A0A6H2BYW4
HGD76_06805	A0A6H2BZ02
HGD76_09935	A0A6H2BZ34
HGD76_07030	A0A6H2BZ46
HGD76_07380	A0A6H2BZ52
HGD76_10405	A0A6H2BZ56
HGD76_10470	A0A6H2BZ65
HGD76_10145	A0A6H2BZ71
HGD76_07530	A0A6H2BZ80
HGD76_09805	A0A6H2BZ98
HGD76_09800	A0A6H2BZE3
HGD76_12950	A0A6H2BZF0
HGD76_10375	A0A6H2BZK2
HGD76_10925	A0A6H2BZK5
HGD76_13330	A0A6H2BZL1
HGD76_10990	A0A6H2BZL6
HGD76_11100	A0A6H2BZN6
HGD76_09835	A0A6H2BZN7
HGD76_08300	A0A6H2BZN9
HGD76_11610	A0A6H2BZP2
HGD76_10425	A0A6H2BZQ0
HGD76_13765	A0A6H2BZT8
HGD76_13895	A0A6H2BZV8
HGD76_09030	A0A6H2BZX0
HGD76_10910	A0A6H2BZY3
HGD76_11745	A0A6H2BZY8
HGD76_10400	A0A6H2BZY9
HGD76_09130	A0A6H2C020
HGD76_12185	A0A6H2C054
HGD76_11785	A0A6H2C0C6
HGD76_10455	A0A6H2C0J3
