(+)-Limonene	CC1=CCC(CC1)C(=C)C
(+)-trans-Carveol	CC1=CCC(CC1O)C(=C)C
(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1R,2S)-Naphthalene epoxide	C1=CC=C2C3C(O3)C=CC2=C1
(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1S,2R)-Naphthalene epoxide	C1=CC=C2C3C(O3)C=CC2=C1
(2-Naphthyl)methanol	C1=CC=C2C=C(C=CC2=C1)CO
(2E)-Decenoyl-[acp]	
(2E)-Dodecenoyl-[acp]	
(2E)-Hexadecenoyl-[acp]	
(2E)-Hexenoyl-[acp]	
(2E)-Octadecenoyl-[acp]	
(2E)-Octenoyl-[acp]	
(2E)-Tetradecenoyl-[acp]	
(3S)-Citryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CC(=O)O)(C(=O)O)O)O
(R)-(+)-Citronellal	CC(CCC=C(C)C)CC=O
(R)-1-Aminopropan-2-yl phosphate	CC(CN)OP(=O)(O)O
(R)-3-Hydroxyacyl-CoA	
(R)-3-Hydroxybutanoyl-CoA	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	
(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	
(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	
(R)-4'-Phosphopantothenoyl-L-cysteine	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O
(R)-Allantoin	C1(C(=O)NC(=O)N1)NC(=O)N
(R)-Mandelate	C1=CC=C(C=C1)C(C(=O)[O-])O
(R)-S-Lactoylglutathione	CC(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(S)-(-)-Citronellal	CC(CCC=C(C)C)CC=O
(S)-Acetoin	CC(C(=O)C)O
(S)-Canadine	COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC
(Z)-Phenylacetaldehyde oxime	C1=CC=C(C=C1)CC=NO
1,2-Diacyl-sn-glycerol didodecanoyl	
1,2-Diacyl-sn-glycerol dihexadec-9-enoyl	
1,2-Diacyl-sn-glycerol dihexadecanoyl	
1,2-Diacyl-sn-glycerol dioctadec-11-enoyl	
1,2-Diacyl-sn-glycerol dioctadecanoyl	
1,2-Diacyl-sn-glycerol ditetradec-7-enoyl	
1,2-Diacyl-sn-glycerol ditetradecanoyl	
1,2-Dianteisoheptadecanoyl-sn-glycerol	
1,2-Dianteisopentadecanoyl-sn-glycerol	
1,2-Dibromoethane	C(CBr)Br
1,2-Diisoheptadecanoyl-sn-glycerol	
1,2-Diisohexadecanoyl-sn-glycerol	
1,2-Diisopentadecanoyl-sn-glycerol	
1,2-Diisotetradecanoyl-sn-glycerol	
1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate	
1,2-dianteisopentadecanoyl-sn-glycerol 3-phosphate	
1,2-didodecanoyl-sn-glycerol 3-phosphate	
